"GEO_ID","NAME","S2901_C01_001E","S2901_C01_001M","S2901_C01_002E","S2901_C01_002M","S2901_C01_003E","S2901_C01_003M","S2901_C01_004E","S2901_C01_004M","S2901_C01_005E","S2901_C01_005M","S2901_C01_006E","S2901_C01_006M","S2901_C01_007E","S2901_C01_007M","S2901_C01_008E","S2901_C01_008M","S2901_C01_009E","S2901_C01_009M","S2901_C01_010E","S2901_C01_010M","S2901_C01_011E","S2901_C01_011M","S2901_C01_012E","S2901_C01_012M","S2901_C01_013E","S2901_C01_013M","S2901_C01_014E","S2901_C01_014M","S2901_C01_015E","S2901_C01_015M","S2901_C01_016E","S2901_C01_016M","S2901_C01_017E","S2901_C01_017M","S2901_C01_018E","S2901_C01_018M","S2901_C01_019E","S2901_C01_019M","S2901_C01_020E","S2901_C01_020M","S2901_C01_021E","S2901_C01_021M","S2901_C01_022E","S2901_C01_022M","S2901_C01_023E","S2901_C01_023M","S2901_C01_024E","S2901_C01_024M","S2901_C01_025E","S2901_C01_025M","S2901_C01_026E","S2901_C01_026M","S2901_C01_027E","S2901_C01_027M","S2901_C01_028E","S2901_C01_028M","S2901_C01_029E","S2901_C01_029M","S2901_C02_001E","S2901_C02_001M","S2901_C02_002E","S2901_C02_002M","S2901_C02_003E","S2901_C02_003M","S2901_C02_004E","S2901_C02_004M","S2901_C02_005E","S2901_C02_005M","S2901_C02_006E","S2901_C02_006M","S2901_C02_007E","S2901_C02_007M","S2901_C02_008E","S2901_C02_008M","S2901_C02_009E","S2901_C02_009M","S2901_C02_010E","S2901_C02_010M","S2901_C02_011E","S2901_C02_011M","S2901_C02_012E","S2901_C02_012M","S2901_C02_013E","S2901_C02_013M","S2901_C02_014E","S2901_C02_014M","S2901_C02_015E","S2901_C02_015M","S2901_C02_016E","S2901_C02_016M","S2901_C02_017E","S2901_C02_017M","S2901_C02_018E","S2901_C02_018M","S2901_C02_019E","S2901_C02_019M","S2901_C02_020E","S2901_C02_020M","S2901_C02_021E","S2901_C02_021M","S2901_C02_022E","S2901_C02_022M","S2901_C02_023E","S2901_C02_023M","S2901_C02_024E","S2901_C02_024M","S2901_C02_025E","S2901_C02_025M","S2901_C02_026E","S2901_C02_026M","S2901_C02_027E","S2901_C02_027M","S2901_C02_028E","S2901_C02_028M","S2901_C02_029E","S2901_C02_029M"
"0400000US12","Florida","15507315","36626","2842961","15152","3349562","20405","5034612","16098","4280180","11478","7459575","23711","8047740","19367","12068096","33224","2330705","23139","352200","9200","41215","3631","11255","2400","387550","16036","316294","14261","3229500","26991","9388752","13533","494800","15472","1111845","20807","4444911","42353","3359706","35705","1594454","32203","2872257","34083","1629342","22772","13900670","37962","4501599","38682","15173968","36325","1623687","33905","13550281","50973","60682","310","(X)","(X)","18.3","0.1","21.6","0.1","32.5","0.1","27.6","0.1","48.1","0.1","51.9","0.1","77.8","0.2","15.0","0.1","2.3","0.1","0.3","0.1","0.1","0.1","2.5","0.1","2.0","0.1","20.8","0.1","60.5","0.1","3.2","0.1","7.2","0.1","28.7","0.3","21.7","0.2","10.3","0.2","18.5","0.2","10.5","0.1","89.6","0.2","29.0","0.2","(X)","(X)","10.7","0.2","89.3","0.2","(X)","(X)"
"0400000US13","Georgia","7581837","15544","1671898","9368","1874492","12644","2542704","11711","1492743","6066","3596624","12437","3985213","10416","4614610","13410","2493514","11032","217935","7664","22881","3687","N","N","97946","8542","130464","7394","381959","9365","4367617","8451","212417","8483","612722","15599","2175866","30146","1735322","26259","585225","15194","1425151","22941","835134","20233","6756698","24998","2260285","28180","7349746","15609","824169","21425","6525577","26478","62310","513","(X)","(X)","22.1","0.1","24.7","0.2","33.5","0.1","19.7","0.1","47.4","0.1","52.6","0.1","60.9","0.1","32.9","0.1","2.9","0.1","0.3","0.1","N","N","1.3","0.1","1.7","0.1","5.0","0.1","57.6","0.1","2.8","0.1","8.1","0.2","28.7","0.4","22.9","0.3","7.7","0.2","18.8","0.3","11.0","0.3","89.1","0.2","29.8","0.4","(X)","(X)","11.2","0.3","88.8","0.3","(X)","(X)"
"0400000US15","Hawaii","1014035","7799","200251","2763","247897","3678","313964","4422","251923","2996","512571","4551","501464","4921","279227","3185","21419","1431","405960","6629","N","N","93496","4806","16616","2841","193286","7760","89330","2209","253118","1583","26047","2889","38056","3457","295504","8849","228842","7249","103114","5016","212655","5447","109817","4822","949932","8860","322472","7241","985155","7803","78645","6368","906510","9327","84755","2227","(X)","(X)","19.7","0.2","24.4","0.3","31.0","0.3","24.8","0.3","50.5","0.3","49.5","0.3","27.5","0.3","2.1","0.1","40.0","0.6","N","N","9.2","0.4","1.6","0.3","19.1","0.7","8.8","0.2","25.0","0.2","2.6","0.3","3.8","0.3","29.1","0.8","22.6","0.7","10.2","0.5","21.0","0.5","10.8","0.5","93.7","0.4","31.8","0.7","(X)","(X)","8.0","0.6","92.0","0.6","(X)","(X)"
"0400000US16","Idaho","1282630","4858","272468","3647","319440","3215","405790","3499","284932","1834","636414","3698","646216","3203","1179206","5283","6553","1254","13148","1850","N","N","N","N","35563","4138","30091","3147","110831","3959","1112809","2577","22686","2916","76304","5112","352207","10185","358231","10797","132451","6457","228096","9017","112655","6514","1183640","6809","340751","11032","1257965","4803","128502","7847","1129463","8786","61489","1119","(X)","(X)","21.2","0.3","24.9","0.2","31.6","0.2","22.2","0.1","49.6","0.2","50.4","0.2","91.9","0.4","0.5","0.1","1.0","0.1","N","N","N","N","2.8","0.3","2.3","0.2","8.6","0.3","86.8","0.4","1.8","0.2","5.9","0.4","27.5","0.8","27.9","0.8","10.3","0.5","17.8","0.7","8.8","0.5","92.3","0.5","26.6","0.8","(X)","(X)","10.2","0.6","89.8","0.6","(X)","(X)"
"0400000US17","Illinois","9088036","18556","1903070","10313","2194821","10750","3021815","8284","1968330","6163","4390707","12633","4697329","9824","6815463","19906","1335520","8545","398896","8139","19999","2685","N","N","339354","14014","175596","8652","1106567","14300","6117633","8381","251890","10003","540206","13417","2393347","25906","2084551","21734","755504","11213","1924280","19726","1138258","17470","8295940","24806","3062538","23420","8842663","18465","877572","20532","7965091","28732","70270","420","(X)","(X)","20.9","0.1","24.2","0.1","33.3","0.1","21.7","0.1","48.3","0.1","51.7","0.1","75.0","0.2","14.7","0.1","4.4","0.1","0.2","0.1","N","N","3.7","0.2","1.9","0.1","12.2","0.1","67.3","0.1","2.8","0.1","5.9","0.1","26.3","0.3","22.9","0.2","8.3","0.1","21.2","0.2","12.5","0.2","91.3","0.2","33.7","0.2","(X)","(X)","9.9","0.2","90.1","0.2","(X)","(X)"
"0400000US18","Indiana","4978356","9818","1066726","6522","1172787","7326","1662916","6995","1075927","3284","2411501","6590","2566855","5892","4293251","8123","449253","5766","71299","4191","13560","2272","N","N","64291","6717","85277","6374","222104","6344","4150304","3585","141732","7928","363014","11505","1721216","18054","1111920","16852","413721","9564","813266","15453","413487","10732","4473610","18261","1226753","18382","4816110","9935","512399","14089","4303711","16091","58224","748","(X)","(X)","21.4","0.1","23.6","0.1","33.4","0.1","21.6","0.1","48.4","0.1","51.6","0.1","86.2","0.2","9.0","0.1","1.4","0.1","0.3","0.1","N","N","1.3","0.1","1.7","0.1","4.5","0.1","83.4","0.2","2.8","0.2","7.3","0.2","34.6","0.4","22.3","0.3","8.3","0.2","16.3","0.3","8.3","0.2","89.9","0.3","24.6","0.4","(X)","(X)","10.6","0.3","89.4","0.3","(X)","(X)"
"0400000US19","Iowa","2348787","7007","490255","3975","549754","4048","758963","3847","549815","2025","1154307","4891","1194480","4690","2181523","5112","75310","3318","35105","2789","N","N","823","658","13269","2228","33643","3847","89663","3836","2113157","3399","47478","4522","114771","5692","727635","12101","555608","8725","270466","7482","440597","9214","192232","6739","2186538","9562","632829","11863","2267012","7158","235140","10200","2031872","12915","62173","800","(X)","(X)","20.9","0.1","23.4","0.2","32.3","0.1","23.4","0.1","49.1","0.1","50.9","0.1","92.9","0.2","3.2","0.1","1.5","0.1","N","N","0.0","0.1","0.6","0.1","1.4","0.2","3.8","0.2","90.0","0.2","2.0","0.2","4.9","0.2","31.0","0.5","23.7","0.4","11.5","0.3","18.8","0.4","8.2","0.3","93.1","0.3","26.9","0.5","(X)","(X)","10.4","0.5","89.6","0.5","(X)","(X)"
"0400000US20","Kansas","2103748","7581","459852","4381","502202","4796","671285","4397","470409","2414","1035098","4800","1068650","5204","1830552","6461","119277","3331","45883","2685","N","N","N","N","31658","4031","56439","4248","154992","5853","1720225","1901","42417","3579","108436","5310","567852","12181","532410","9139","194072","7337","431443","9148","227118","7718","1952895","9010","658561","10736","2032470","7506","204739","8842","1827731","10765","62781","1072","(X)","(X)","21.9","0.2","23.9","0.2","31.9","0.2","22.4","0.1","49.2","0.2","50.8","0.2","87.0","0.3","5.7","0.2","2.2","0.1","N","N","N","N","1.5","0.2","2.7","0.2","7.4","0.3","81.8","0.3","2.0","0.2","5.2","0.2","27.0","0.6","25.3","0.4","9.2","0.3","20.5","0.4","10.8","0.4","92.8","0.3","31.3","0.5","(X)","(X)","10.1","0.4","89.9","0.4","(X)","(X)"
"0400000US21","Kentucky","3367502","6355","694518","4153","785460","4611","1137899","5180","749625","3344","1631725","4801","1735777","4526","3004987","4492","263543","5584","32281","2513","N","N","N","N","11524","2040","46553","4526","59886","3449","2962724","3350","142640","6099","271086","9695","1138750","13130","758893","14924","277218","7742","475197","11164","303718","8662","2953776","12754","778915","14261","3253739","6360","470519","13490","2783220","15143","52425","738","(X)","(X)","20.6","0.1","23.3","0.1","33.8","0.1","22.3","0.1","48.5","0.1","51.5","0.1","89.2","0.1","7.8","0.2","1.0","0.1","N","N","N","N","0.3","0.1","1.4","0.1","1.8","0.1","88.0","0.1","4.2","0.2","8.1","0.3","33.8","0.4","22.5","0.4","8.2","0.2","14.1","0.3","9.0","0.3","87.7","0.3","23.1","0.4","(X)","(X)","14.5","0.4","85.5","0.4","(X)","(X)"
"0400000US22","Louisiana","3463372","7950","725942","5848","878183","8163","1123706","7381","735541","3200","1655152","5650","1808220","5585","2217274","5844","1104855","6007","43112","3137","N","N","N","N","26803","3871","51054","5275","108844","6291","2142840","2980","128154","7461","348564","11509","1181750","22926","797932","18286","209174","7415","525168","13867","272630","9227","2986654","15351","797798","15584","3353474","7685","543785","17797","2809689","19025","51370","589","(X)","(X)","21.0","0.2","25.4","0.2","32.4","0.2","21.2","0.1","47.8","0.1","52.2","0.1","64.0","0.1","31.9","0.2","1.2","0.1","N","N","N","N","0.8","0.1","1.5","0.2","3.1","0.2","61.9","0.1","3.7","0.2","10.1","0.3","34.1","0.6","23.0","0.5","6.0","0.2","15.2","0.4","7.9","0.3","86.2","0.4","23.0","0.5","(X)","(X)","16.2","0.5","83.8","0.5","(X)","(X)"
"0400000US23","Maine","1078770","2292","184073","1787","228950","2363","382787","1854","282960","1427","522044","2071","556726","2151","1031737","1917","9600","1771","9369","1060","N","N","N","N","2878","982","17529","1960","14812","1162","1021883","1390","20493","2384","55953","3761","344366","7619","220426","6983","102719","5217","214033","6667","120780","5368","1002324","4455","334813","7515","1049814","2320","106056","6314","943758","6242","59087","1770","(X)","(X)","17.1","0.2","21.2","0.2","35.5","0.2","26.2","0.1","48.4","0.2","51.6","0.2","95.6","0.2","0.9","0.2","0.9","0.1","N","N","N","N","0.3","0.1","1.6","0.2","1.4","0.1","94.7","0.2","1.9","0.2","5.2","0.3","31.9","0.7","20.4","0.6","9.5","0.5","19.8","0.6","11.2","0.5","92.9","0.4","31.0","0.7","(X)","(X)","10.1","0.6","89.9","0.6","(X)","(X)"
"0400000US24","Maryland","4316921","12812","855268","7048","1032027","8931","1504483","5508","925143","4116","2050021","7510","2266900","7788","2551302","8000","1332694","7991","222050","5921","14591","1918","N","N","87620","6417","106711","6737","243128","7757","2424636","4021","93647","6455","244327","9111","1106948","18991","901028","15372","293152","11398","929633","14921","748186","13479","3978947","16837","1677819","18814","4200354","13054","325115","10922","3875239","15111","88196","1158","(X)","(X)","19.8","0.1","23.9","0.2","34.9","0.1","21.4","0.1","47.5","0.1","52.5","0.1","59.1","0.2","30.9","0.2","5.1","0.1","0.3","0.1","N","N","2.0","0.1","2.5","0.2","5.6","0.2","56.2","0.2","2.2","0.2","5.7","0.2","25.6","0.4","20.9","0.4","6.8","0.3","21.5","0.3","17.3","0.3","92.2","0.2","38.9","0.4","(X)","(X)","7.7","0.3","92.3","0.3","(X)","(X)"
"0400000US25","Massachusetts","5057192","15957","1064328","7888","1144772","7785","1718530","7784","1129562","4719","2407924","11066","2649268","9091","4179483","13716","348589","7255","244675","6873","13647","1898","N","N","149731","10033","118850","7548","465240","9624","3911205","9686","145102","6943","232063","8968","1236337","18584","948104","16261","364864","11775","1234605","17511","896117","15501","4680027","19383","2130722","21258","4862521","15551","399818","11982","4462703","17679","87510","1189","(X)","(X)","21.0","0.1","22.6","0.1","34.0","0.1","22.3","0.1","47.6","0.1","52.4","0.1","82.6","0.3","6.9","0.1","4.8","0.1","0.3","0.1","N","N","3.0","0.2","2.4","0.1","9.2","0.2","77.3","0.3","2.9","0.1","4.6","0.2","24.4","0.3","18.7","0.3","7.2","0.2","24.4","0.4","17.7","0.3","92.5","0.2","42.1","0.4","(X)","(X)","8.2","0.2","91.8","0.2","(X)","(X)"
"0400000US26","Michigan","7562464","9607","1565440","5480","1672945","6851","2581484","5876","1742595","3389","3676586","6305","3885878","6147","6132502","9283","1020180","6567","158530","5632","44152","2662","1237","579","53163","4662","152700","6663","268656","5524","5943664","6360","159983","6000","491391","9616","2259829","22651","1901313","21631","686228","11422","1298320","18771","765400","11787","6911090","14714","2063720","22595","7392512","9633","850871","18330","6541641","20935","59395","582","(X)","(X)","20.7","0.1","22.1","0.1","34.1","0.1","23.0","0.1","48.6","0.1","51.4","0.1","81.1","0.1","13.5","0.1","2.1","0.1","0.6","0.1","0.0","0.1","0.7","0.1","2.0","0.1","3.6","0.1","78.6","0.1","2.1","0.1","6.5","0.1","29.9","0.3","25.1","0.3","9.1","0.2","17.2","0.2","10.1","0.2","91.4","0.1","27.3","0.3","(X)","(X)","11.5","0.2","88.5","0.2","(X)","(X)"
"0400000US27","Minnesota","4157556","10015","825684","6418","1031607","6596","1386604","4365","913661","2549","2045864","6514","2111692","5775","3619184","6009","205733","6054","155022","4955","40218","2444","N","N","46297","4580","89291","6139","136880","4816","3540688","3908","79692","4290","179746","5791","1043609","14807","938587","13289","468946","9089","979578","13375","467398","8841","3898118","12233","1446976","14867","4062212","9953","324454","9037","3737758","13290","75166","671","(X)","(X)","19.9","0.1","24.8","0.1","33.4","0.1","22.0","0.1","49.2","0.1","50.8","0.1","87.1","0.2","4.9","0.1","3.7","0.1","1.0","0.1","N","N","1.1","0.1","2.1","0.1","3.3","0.1","85.2","0.2","1.9","0.1","4.3","0.1","25.1","0.4","22.6","0.3","11.3","0.2","23.6","0.3","11.2","0.2","93.8","0.2","34.8","0.3","(X)","(X)","8.0","0.2","92.0","0.2","(X)","(X)"
"0400000US28","Mississippi","2246323","3740","479850","4176","544491","8293","736921","8424","485061","2554","1067205","3103","1179118","2821","1354587","4022","834483","5679","15882","2241","N","N","N","N","10323","2132","20862","3795","42878","3410","1327182","1723","88639","5470","235255","8716","675989","13054","562195","12147","229572","8462","286263","10410","168410","8174","1922429","9275","454673","13985","2162794","3697","364952","14485","1797842","14083","45823","1183","(X)","(X)","21.4","0.2","24.2","0.4","32.8","0.4","21.6","0.1","47.5","0.1","52.5","0.1","60.3","0.2","37.1","0.2","0.7","0.1","N","N","N","N","0.5","0.1","0.9","0.2","1.9","0.2","59.1","0.1","3.9","0.2","10.5","0.4","30.1","0.6","25.0","0.5","10.2","0.4","12.7","0.5","7.5","0.4","85.6","0.4","20.2","0.6","(X)","(X)","16.9","0.7","83.1","0.7","(X)","(X)"
"0400000US29","Missouri","4650318","8536","947001","4634","1114992","6389","1537684","5451","1050641","3142","2248899","5423","2401419","5848","3931970","5678","507299","6139","65793","3755","20013","2616","4297","1230","35030","4088","85916","5801","130429","4640","3845339","2760","116172","5493","313976","9937","1477822","16425","1093091","17036","359600","9489","813861","13680","475796","11409","4220170","14376","1289657","18331","4502373","8452","517217","14947","3985156","17999","57553","685","(X)","(X)","20.4","0.1","24.0","0.1","33.1","0.1","22.6","0.1","48.4","0.1","51.6","0.1","84.6","0.1","10.9","0.1","1.4","0.1","0.4","0.1","0.1","0.1","0.8","0.1","1.8","0.1","2.8","0.1","82.7","0.1","2.5","0.1","6.8","0.2","31.8","0.4","23.5","0.4","7.7","0.2","17.5","0.3","10.2","0.2","90.8","0.3","27.7","0.4","(X)","(X)","11.5","0.3","88.5","0.3","(X)","(X)"
"0400000US30","Montana","831760","2687","164858","2291","194179","2332","266138","2400","206585","1648","415318","2413","416442","2020","751393","2616","N","N","5130","1055","N","N","N","N","N","N","N","N","26286","1809","734206","1521","13111","1769","41911","3609","244930","8413","203813","6799","72970","3707","178221","5609","76804","4469","776738","4251","255025","7263","812042","2677","96565","4966","715477","5268","57299","1250","(X)","(X)","19.8","0.2","23.3","0.3","32.0","0.3","24.8","0.2","49.9","0.2","50.1","0.2","90.3","0.3","N","N","0.6","0.1","N","N","N","N","N","N","N","N","3.2","0.2","88.3","0.2","1.6","0.2","5.0","0.4","29.4","1.0","24.5","0.8","8.8","0.4","21.4","0.7","9.2","0.5","93.4","0.5","30.7","0.9","(X)","(X)","11.9","0.6","88.1","0.6","(X)","(X)"
"0400000US31","Nebraska","1388950","4650","298888","3066","340309","3558","439917","3899","309836","1847","683539","3533","705411","3263","1247723","3543","57141","2446","22871","1853","N","N","N","N","23278","2578","24460","3195","92631","3341","1184916","1788","29545","2551","61622","3792","364242","7903","348168","7403","150967","5729","294188","7067","140218","5299","1297783","6277","434406","8582","1346037","4743","124213","6398","1221824","7790","64426","918","(X)","(X)","21.5","0.2","24.5","0.2","31.7","0.3","22.3","0.1","49.2","0.2","50.8","0.2","89.8","0.3","4.1","0.2","1.6","0.1","N","N","N","N","1.7","0.2","1.8","0.2","6.7","0.2","85.3","0.3","2.1","0.2","4.4","0.3","26.2","0.6","25.1","0.5","10.9","0.4","21.2","0.5","10.1","0.4","93.4","0.3","31.3","0.6","(X)","(X)","9.2","0.5","90.8","0.5","(X)","(X)"
"0400000US32","Nevada","2111932","11615","431639","5257","523962","6510","683068","6083","473263","3112","1055523","7251","1056409","7176","1472166","12076","209465","3795","167309","4376","27233","1981","15622","1829","141146","9026","78991","5446","428143","9453","1210896","4974","56378","4713","153914","7112","623003","13959","568660","12514","189556","7574","341197","8871","179224","6856","1901640","13713","520421","11123","2082867","11591","219232","10848","1863635","16098","64790","950","(X)","(X)","20.4","0.2","24.8","0.2","32.3","0.2","22.4","0.2","50.0","0.2","50.0","0.2","69.7","0.5","9.9","0.2","7.9","0.2","1.3","0.1","0.7","0.1","6.7","0.4","3.7","0.3","20.3","0.4","57.3","0.3","2.7","0.2","7.3","0.3","29.5","0.6","26.9","0.6","9.0","0.4","16.2","0.4","8.5","0.3","90.0","0.4","24.6","0.5","(X)","(X)","10.5","0.5","89.5","0.5","(X)","(X)"
"0400000US33","New Hampshire","1070215","3043","203672","1880","229662","2231","387483","2290","249398","1639","525283","2412","544932","2208","1015920","2979","13302","1381","17650","1903","N","N","N","N","5523","2106","16046","2014","29676","1853","994140","1760","15929","2193","57718","4063","307973","9252","217428","7075","102355","6037","231504","6749","137308","6297","996568","5099","368812","7894","1034619","3127","73933","5532","960686","6154","78128","2088","(X)","(X)","19.0","0.2","21.5","0.2","36.2","0.2","23.3","0.2","49.1","0.2","50.9","0.2","94.9","0.3","1.2","0.1","1.6","0.2","N","N","N","N","0.5","0.2","1.5","0.2","2.8","0.2","92.9","0.3","1.5","0.2","5.4","0.4","28.8","0.9","20.3","0.7","9.6","0.6","21.6","0.6","12.8","0.6","93.1","0.4","34.5","0.7","(X)","(X)","7.1","0.5","92.9","0.5","(X)","(X)"
"0400000US34","New Jersey","6170130","19781","1178577","8549","1378193","10516","2203134","8964","1410226","4835","2960049","13528","3210081","10764","4452328","15551","856874","10331","464742","8228","12330","2743","N","N","255447","13652","126012","8468","954992","12104","3835196","6998","177161","7232","305797","9944","1668401","22094","1176350","16164","414239","12018","1543904","20144","884278","16473","5687172","20387","2428182","24305","6035012","19945","456444","14969","5578568","25206","87340","924","(X)","(X)","19.1","0.1","22.3","0.1","35.7","0.1","22.9","0.1","48.0","0.1","52.0","0.1","72.2","0.3","13.9","0.2","7.5","0.1","0.2","0.1","N","N","4.1","0.2","2.0","0.1","15.5","0.2","62.2","0.2","2.9","0.1","5.0","0.2","27.0","0.4","19.1","0.3","6.7","0.2","25.0","0.3","14.3","0.3","92.2","0.2","39.4","0.4","(X)","(X)","7.6","0.2","92.4","0.2","(X)","(X)"
"0400000US35","New Mexico","1522171","8220","319475","3921","361292","5973","473593","6118","367811","2633","743883","5587","778288","4717","1154001","12235","34879","2912","20266","2165","145613","3561","N","N","124366","9665","42144","3841","663946","7464","650989","2049","57352","5024","128370","7511","423186","9520","379094","10471","138614","6743","228095","7265","167460","6482","1336449","9972","395555","8226","1490923","8299","229809","9044","1261114","9763","52697","1294","(X)","(X)","21.0","0.2","23.7","0.4","31.1","0.3","24.2","0.2","48.9","0.2","51.1","0.2","75.8","0.7","2.3","0.2","1.3","0.1","9.6","0.2","N","N","8.2","0.6","2.8","0.3","43.6","0.3","42.8","0.2","3.8","0.3","8.4","0.5","27.8","0.6","24.9","0.7","9.1","0.4","15.0","0.5","11.0","0.4","87.8","0.5","26.0","0.6","(X)","(X)","15.4","0.6","84.6","0.6","(X)","(X)"
"0400000US36","New York","13810830","26483","2905856","12430","3224211","15108","4554178","14464","3126585","7587","6590849","19158","7219981","14904","9463280","22703","2152967","15430","921239","12190","52456","4502","5681","1412","866370","19901","348837","12438","2094324","17211","8524766","10611","529488","13784","881466","14947","3566992","33889","2549926","26390","1232351","20115","2947282","25881","2103325","24825","12399876","31959","5050607","33131","13418095","26800","1490606","25305","11927489","34419","73694","677","(X)","(X)","21.0","0.1","23.3","0.1","33.0","0.1","22.6","0.1","47.7","0.1","52.3","0.1","68.5","0.2","15.6","0.1","6.7","0.1","0.4","0.1","0.0","0.1","6.3","0.1","2.5","0.1","15.2","0.1","61.7","0.1","3.8","0.1","6.4","0.1","25.8","0.2","18.5","0.2","8.9","0.1","21.3","0.2","15.2","0.2","89.8","0.1","36.6","0.2","(X)","(X)","11.1","0.2","88.9","0.2","(X)","(X)"
"0400000US37","North Carolina","7729644","14955","1625824","7810","1784807","10491","2596312","9133","1722701","5189","3681272","9689","4048372","8140","5532516","11015","1692009","10607","152850","6560","92868","3541","N","N","110126","7434","145566","9307","360001","8979","5314942","5869","195644","7760","568559","15158","2056499","24434","1828802","20696","771355","16786","1503185","21205","805600","17673","6965441","22842","2308785","29518","7489514","15256","860308","21553","6629206","23913","58019","691","(X)","(X)","21.0","0.1","23.1","0.1","33.6","0.1","22.3","0.1","47.6","0.1","52.4","0.1","71.6","0.1","21.9","0.1","2.0","0.1","1.2","0.1","N","N","1.4","0.1","1.9","0.1","4.7","0.1","68.8","0.1","2.5","0.1","7.4","0.2","26.6","0.3","23.7","0.3","10.0","0.2","19.4","0.3","10.4","0.2","90.1","0.2","29.9","0.4","(X)","(X)","11.5","0.3","88.5","0.3","(X)","(X)"
"0400000US38","North Dakota","567545","3405","138826","2881","142031","2617","167109","1808","119579","1307","289374","2513","278171","2577","507891","1808","11452","1850","4071","1247","N","N","N","N","N","N","N","N","18079","1757","498525","1228","11789","1976","24862","2551","151741","6377","142885","5816","77801","4259","116017","5520","42450","4179","530894","4374","158467","6431","547770","3375","55579","4315","492191","4885","65531","2605","(X)","(X)","24.5","0.5","25.0","0.4","29.4","0.3","21.1","0.2","51.0","0.3","49.0","0.3","89.5","0.5","2.0","0.3","0.7","0.2","N","N","N","N","N","N","N","N","3.2","0.3","87.8","0.5","2.1","0.3","4.4","0.4","26.7","1.1","25.2","1.0","13.7","0.7","20.4","1.0","7.5","0.7","93.5","0.6","27.9","1.1","(X)","(X)","10.1","0.8","89.9","0.8","(X)","(X)"
"0400000US39","Ohio","8879469","11311","1786146","7082","2053574","8519","3010829","6993","2028920","3907","4288268","8195","4591201","7077","7451074","7627","1052562","8651","132192","5557","N","N","N","N","56177","4760","166589","7329","239267","5548","7293876","4778","208145","9558","617456","14728","2951952","21746","1992435","22109","733993","13203","1519868","17614","855620","12669","8053868","19387","2375488","20864","8607739","11393","971906","19041","7635833","20366","58908","562","(X)","(X)","20.1","0.1","23.1","0.1","33.9","0.1","22.8","0.1","48.3","0.1","51.7","0.1","83.9","0.1","11.9","0.1","1.5","0.1","N","N","N","N","0.6","0.1","1.9","0.1","2.7","0.1","82.1","0.1","2.3","0.1","7.0","0.2","33.2","0.2","22.4","0.3","8.3","0.1","17.1","0.2","9.6","0.1","90.7","0.2","26.8","0.2","(X)","(X)","11.3","0.2","88.7","0.2","(X)","(X)"
"0400000US40","Oklahoma","2875059","6555","626445","4162","711620","4861","910287","4246","626707","2849","1404052","4964","1471007","4232","2175841","5906","207763","3707","50953","2807","224980","4266","N","N","37300","3450","176006","5579","180220","4248","2052588","2755","73157","3890","230133","6751","925759","12551","721069","10918","226162","6631","468088","7647","230691","6138","2571769","9764","698779","8668","2782171","6554","368255","9575","2413916","11464","55141","531","(X)","(X)","21.8","0.1","24.8","0.2","31.7","0.1","21.8","0.1","48.8","0.1","51.2","0.1","75.7","0.2","7.2","0.1","1.8","0.1","7.8","0.2","N","N","1.3","0.1","6.1","0.2","6.3","0.1","71.4","0.2","2.5","0.1","8.0","0.2","32.2","0.4","25.1","0.4","7.9","0.2","16.3","0.3","8.0","0.2","89.5","0.3","24.3","0.3","(X)","(X)","13.2","0.3","86.8","0.3","(X)","(X)"
"0400000US41","Oregon","3162204","8902","622701","5527","795817","6374","989048","5754","754638","3233","1545421","5774","1616783","6436","2756993","8176","56026","3251","113542","4874","36906","3653","8555","1491","65722","5937","124460","7232","268182","6881","2582718","3423","58798","4950","177756","7295","764121","13786","855824","15597","283734","10191","638939","11944","383032","9984","2925650","11881","1021971","14113","3104064","8909","327002","10403","2777062","13436","67429","912","(X)","(X)","19.7","0.1","25.2","0.2","31.3","0.2","23.9","0.1","48.9","0.1","51.1","0.1","87.2","0.2","1.8","0.1","3.6","0.1","1.2","0.1","0.3","0.1","2.1","0.2","3.9","0.2","8.5","0.2","81.7","0.2","1.9","0.2","5.6","0.2","24.2","0.4","27.1","0.5","9.0","0.3","20.2","0.4","12.1","0.3","92.5","0.2","32.3","0.4","(X)","(X)","10.5","0.3","89.5","0.3","(X)","(X)"
"0400000US42","Pennsylvania","9810201","11994","1911117","7974","2221630","6876","3318012","8144","2359442","3947","4743600","8523","5066601","7397","8172337","12578","1038791","9676","238614","5843","18764","2331","N","N","178681","10693","160507","8620","551612","9070","7873298","6499","246246","9139","621652","13399","3411738","26416","1778779","20096","808415","13961","1839363","18505","1104008","15712","8942303","19609","2943371","23765","9459852","11783","991364","22642","8468488","25123","63798","430","(X)","(X)","19.5","0.1","22.6","0.1","33.8","0.1","24.1","0.1","48.4","0.1","51.6","0.1","83.3","0.1","10.6","0.1","2.4","0.1","0.2","0.1","N","N","1.8","0.1","1.6","0.1","5.6","0.1","80.3","0.1","2.5","0.1","6.3","0.1","34.8","0.3","18.1","0.2","8.2","0.1","18.7","0.2","11.3","0.2","91.2","0.2","30.0","0.2","(X)","(X)","10.5","0.2","89.5","0.2","(X)","(X)"
