"GEO_ID","id"
"S2901_C02_025E","Percent!!Estimate!!Bachelor's degree or higher"
"S2901_C02_025M","Percent!!Margin of Error!!Bachelor's degree or higher"
"S2901_C02_026E","Percent!!Estimate!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined"
"S2901_C02_026M","Percent!!Margin of Error!!POVERTY STATUS!!Total Citizens, 18 years and older, for whom poverty status is determined"
"S2901_C02_027E","Percent!!Estimate!!POVERTY STATUS!!Income in the past 12 months below poverty level"
"S2901_C02_027M","Percent!!Margin of Error!!POVERTY STATUS!!Income in the past 12 months below poverty level"
"S2901_C02_028E","Percent!!Estimate!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level"
"S2901_C02_028M","Percent!!Margin of Error!!POVERTY STATUS!!Income in the past 12 months at or above the poverty level"
"S2901_C02_029E","Percent!!Estimate!!HOUSEHOLD INCOME (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder"
"S2901_C02_029M","Percent!!Margin of Error!!HOUSEHOLD INCOME (IN 2017 INFLATION-ADJUSTED DOLLARS)!!Median Household Income for Households with a Citizen, Voting-Age Householder"
