"Label","Alabama!!Total!!Estimate","Alaska!!Total!!Estimate","Arizona!!Total!!Estimate","Arkansas!!Total!!Estimate","California!!Total!!Estimate","Colorado!!Total!!Estimate","Connecticut!!Total!!Estimate","Delaware!!Total!!Estimate","District of Columbia!!Total!!Estimate","Florida!!Total!!Estimate","Georgia!!Total!!Estimate","Hawaii!!Total!!Estimate","Idaho!!Total!!Estimate","Illinois!!Total!!Estimate","Indiana!!Total!!Estimate","Iowa!!Total!!Estimate","Kansas!!Total!!Estimate","Kentucky!!Total!!Estimate","Louisiana!!Total!!Estimate","Maine!!Total!!Estimate","Maryland!!Total!!Estimate","Massachusetts!!Total!!Estimate","Michigan!!Total!!Estimate","Minnesota!!Total!!Estimate","Mississippi!!Total!!Estimate","Missouri!!Total!!Estimate","Montana!!Total!!Estimate","Nebraska!!Total!!Estimate","Nevada!!Total!!Estimate","New Hampshire!!Total!!Estimate","New Jersey!!Total!!Estimate","New Mexico!!Total!!Estimate","New York!!Total!!Estimate","North Carolina!!Total!!Estimate","North Dakota!!Total!!Estimate","Ohio!!Total!!Estimate","Oklahoma!!Total!!Estimate","Oregon!!Total!!Estimate","Pennsylvania!!Total!!Estimate","Rhode Island!!Total!!Estimate","South Carolina!!Total!!Estimate","South Dakota!!Total!!Estimate","Tennessee!!Total!!Estimate","Texas!!Total!!Estimate","Utah!!Total!!Estimate","Vermont!!Total!!Estimate","Virginia!!Total!!Estimate","Washington!!Total!!Estimate","West Virginia!!Total!!Estimate","Wisconsin!!Total!!Estimate","Wyoming!!Total!!Estimate","Puerto Rico!!Total!!Estimate"
"    White alone","2,594,550","370,547","3,970,171","1,767,277","16,248,203","3,545,964","2,113,264","516,740","228,792","11,764,013","4,548,297","291,754","1,130,214","6,824,401","4,259,529","2,175,640","1,836,860","3,000,478","2,239,824","1,024,749","2,579,484","4,204,400","6,086,448","3,597,864","1,355,236","3,910,738","737,173","1,243,234","1,420,193","999,372","4,508,722","1,156,585","9,562,259","5,425,243","509,530","7,444,964","2,152,767","2,699,526","8,228,591","683,726","2,651,463","568,749","4,035,198","13,862,112","1,832,306","475,019","4,375,044","4,291,509","1,348,070","3,893,651","399,806","1,769,053"
"    Black or African American alone","977,499","15,789","213,036","331,784","1,726,398","151,670","258,520","153,093","240,731","2,263,285","2,379,072","19,243","6,738","1,343,504","431,452","64,671","117,724","256,393","1,100,450","8,249","1,310,893","328,213","1,012,292","193,904","826,757","504,446","N","57,062","195,702","13,583","858,691","32,585","2,157,160","1,650,467","11,407","1,037,355","205,987","51,657","1,016,974","42,427","1,014,684","8,111","822,470","2,415,224","19,564","N","1,205,957","182,412","53,859","251,384","N","315,764"
"    Asian alone","28,616","23,909","120,530","18,286","3,539,847","92,829","80,707","16,924","16,977","336,951","193,031","402,849","10,816","379,680","56,983","30,049","40,216","27,335","45,132","7,024","218,479","225,420","141,719","136,765","13,667","57,148","4,575","19,594","163,436","16,065","458,272","18,331","912,367","128,634","3,706","109,446","43,837","99,171","219,662","19,252","39,652","5,311","50,095","680,448","37,511","3,899","303,091","346,034","6,454","74,238","2,286","N"
"    American Indian and Alaska Native alone","N","N","222,140","N","216,650","43,473","7,278","N","N","44,217","20,774","N","N","20,533","N","N","N","N","N","N","12,611","9,066","40,848","40,572","N","N","N","N","26,802","N","10,959","N","51,410","87,765","N","18,371","N","33,951","17,093","N","N","N","N","87,562","22,409","N","20,750","63,384","N","36,626","N","N"
"    Native Hawaiian and Other Pacific Islander alone","N","4,933","9,484","1,848","106,403","5,530","N","N","N","8,897","N","90,343","N","2,303","N","1,962","N","N","N","N","N","N","N","N","N","N","N","N","15,148","N","N","N","5,339","5,476","N","N","2,239","8,713","N","N","N","N","N","16,546","15,898","N","N","32,306","N","N","N","N"
"    Some Other Race alone","16,650","8,258","228,065","29,177","2,782,368","111,264","92,774","6,812","9,789","321,475","85,983","14,227","26,511","325,914","56,409","17,293","27,672","12,476","22,970","N","88,305","131,712","53,900","36,618","10,022","31,138","4,237","14,673","137,824","3,269","246,863","103,460","870,710","86,371","5,077","55,427","43,490","56,557","133,422","24,182","25,667","2,461","22,956","739,438","58,071","N","79,409","115,127","5,143","49,275","5,418","406,548"
"    Two or More Races","49,143","N","132,280","45,202","1,030,586","106,707","58,845","13,947","12,528","276,112","132,361","205,093","26,795","159,592","83,991","28,631","50,357","46,693","41,696","N","99,187","93,728","144,781","72,389","18,925","79,326","N","22,257","72,108","14,861","113,085","38,866","307,403","125,923","N","161,938","175,434","110,753","146,531","18,485","53,160","N","68,003","373,015","42,417","N","158,698","229,120","N","67,873","N","135,314"
"Hispanic or Latino","68,370","31,763","1,144,543","77,412","7,697,731","636,748","306,204","35,463","30,518","2,976,237","348,842","88,962","94,726","1,018,331","195,216","78,723","148,379","56,066","106,571","12,931","230,286","436,238","249,396","117,953","35,854","121,043","22,151","78,552","386,808","27,962","918,336","636,756","2,029,519","319,293","14,820","226,666","164,171","235,527","500,784","81,903","113,760","14,404","115,686","5,424,880","173,279","7,481","329,257","386,841","13,029","181,025","30,257","2,614,220"
"White alone, Not Hispanic or Latino","2,546,071","354,117","3,134,110","1,722,655","11,844,297","3,071,544","1,929,266","492,429","212,092","9,256,799","4,321,525","260,635","1,067,617","6,193,023","4,134,747","2,119,242","1,726,275","2,960,609","2,164,239","1,015,063","2,462,907","3,930,307","5,916,685","3,528,190","1,332,936","3,829,156","722,604","1,183,439","1,199,814","979,855","3,905,106","654,966","8,648,132","5,218,237","500,035","7,296,341","2,052,532","2,543,085","7,920,358","630,953","2,573,831","558,533","3,947,581","9,359,397","1,727,382","469,318","4,162,850","4,059,595","1,339,279","3,777,795","378,834","17,055"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than 9th grade","124,759","11,299","149,657","74,507","1,161,284","72,590","70,248","14,710","10,564","485,886","204,420","24,697","22,675","246,729","136,442","48,533","42,404","154,051","138,709","25,674","98,094","146,829","158,976","78,456","92,663","121,675","16,476","26,515","48,926","17,033","184,360","52,888","536,693","218,228","13,534","209,232","74,333","59,753","250,230","26,660","118,581","16,563","164,816","739,958","29,537","8,693","173,381","98,707","58,626","84,021","5,795","367,178"
"    9th to 12th grade, no diploma","353,270","33,748","366,504","194,327","1,679,013","199,065","147,516","42,684","29,730","1,080,827","646,895","39,842","77,994","568,746","401,839","122,816","121,411","281,323","369,167","58,719","256,375","267,397","508,834","182,219","248,532","347,570","43,466","66,421","153,091","55,734","334,812","127,325","970,926","590,028","26,815","666,063","238,675","185,370","642,972","52,030","334,938","39,807","402,405","1,407,769","105,026","27,966","375,083","287,490","125,505","234,818","25,099","209,280"
"    High school graduate (includes equivalency)","1,166,142","155,726","1,240,537","759,329","5,670,820","909,022","712,306","235,210","94,071","4,315,776","2,144,111","303,189","359,124","2,399,973","1,628,807","709,928","553,508","1,132,015","1,183,060","333,707","1,106,134","1,223,605","2,216,964","1,035,428","681,650","1,439,605","238,516","369,574","610,250","302,675","1,702,994","413,683","3,620,795","2,005,213","155,357","2,975,569","900,920","746,444","3,446,924","239,260","1,143,498","194,630","1,658,467","4,857,035","476,834","148,019","1,551,973","1,239,383","587,422","1,364,216","130,748","737,094"
"    Some college, no degree","890,675","149,024","1,367,296","550,519","6,691,008","972,206","522,940","156,543","87,962","3,360,101","1,718,722","235,135","343,488","2,170,766","1,117,318","562,700","540,643","789,924","829,185","226,058","950,340","966,475","1,941,114","957,310","547,991","1,118,043","204,218","363,517","565,534","217,334","1,222,670","400,604","2,656,247","1,828,409","142,523","1,999,368","726,720","843,232","1,801,439","168,837","877,171","154,691","1,170,961","4,704,577","596,575","99,460","1,373,466","1,371,644","295,015","1,008,612","114,923","428,539"
"    Associate's degree","297,465","44,460","423,686","154,087","2,090,277","323,740","204,650","54,620","16,621","1,561,652","564,343","107,298","114,494","730,896","412,356","263,040","183,780","255,392","193,176","103,918","294,465","363,871","687,704","451,229","219,754","354,096","67,876","136,514","164,745","101,421","430,211","124,202","1,244,858","693,271","70,551","733,004","226,849","264,989","781,499","61,347","345,171","67,726","351,505","1,365,597","194,774","39,415","477,831","542,424","97,224","460,659","43,431","271,284"
"    Bachelor's degree","547,228","86,875","859,330","312,213","5,384,750","1,023,500","553,737","122,665","123,216","2,719,313","1,315,098","209,924","208,737","1,850,998","789,076","429,454","420,798","447,480","501,783","201,297","894,543","1,177,098","1,237,975","926,706","282,970","782,113","164,756","276,067","325,226","222,767","1,465,142","214,660","2,827,759","1,435,868","115,754","1,439,795","450,434","613,399","1,776,570","153,517","631,518","117,036","820,830","3,432,877","419,868","103,924","1,291,327","1,115,632","164,758","817,388","68,950","450,155"
"    Graduate or professional degree","308,710","50,521","488,696","162,912","2,973,303","557,314","400,270","83,567","148,350","1,491,395","769,026","105,463","92,969","1,087,819","413,413","188,884","228,717","290,771","253,936","115,124","710,913","847,726","730,361","448,304","161,162","443,741","75,452","129,392","163,441","131,919","859,220","159,956","2,009,370","738,862","39,941","807,154","217,520","347,141","1,064,485","90,686","348,421","51,213","447,119","1,666,532","205,562","67,073","902,832","604,612","100,309","405,349","39,433","173,419"
"High school degree or higher","3,210,220","486,606","4,379,545","1,939,060","22,810,158","3,785,782","2,393,903","652,605","470,220","13,448,237","6,511,300","961,009","1,118,812","8,240,452","4,360,970","2,154,006","1,927,446","2,915,582","2,961,140","980,104","3,956,395","4,578,775","6,814,118","3,818,977","1,893,527","4,137,598","750,818","1,275,064","1,829,196","976,116","5,680,237","1,313,105","12,359,029","6,701,623","524,126","7,954,890","2,522,443","2,815,205","8,870,917","713,647","3,345,779","585,296","4,448,882","16,026,618","1,893,613","457,891","5,597,429","4,873,695","1,244,728","4,056,224","397,485","2,060,491"
"Bachelor's degree or higher","855,938","137,396","1,348,026","475,125","8,358,053","1,580,814","954,007","206,232","271,566","4,210,708","2,084,124","315,387","301,706","2,938,817","1,202,489","618,338","649,515","738,251","755,719","316,421","1,605,456","2,024,824","1,968,336","1,375,010","444,132","1,225,854","240,208","405,459","488,667","354,686","2,324,362","374,616","4,837,129","2,174,730","155,695","2,246,949","667,954","960,540","2,841,055","244,203","979,939","168,249","1,267,949","5,099,409","625,430","170,997","2,194,159","1,720,244","265,067","1,222,737","108,383","623,574"
"POVERTY STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total Citizens, 18 years and older, for whom poverty status is determined","3,583,677","517,757","4,777,975","2,133,163","25,094,781","3,957,876","2,517,770","688,470","480,375","14,681,906","7,140,232","995,557","1,194,878","8,806,652","4,740,347","2,241,148","2,020,972","3,237,198","3,356,655","1,036,631","4,192,489","4,798,871","7,305,352","3,983,690","2,156,308","4,459,667","791,491","1,323,857","2,002,365","1,012,257","6,057,850","1,462,326","13,468,107","7,281,726","542,722","8,556,382","2,743,507","3,003,752","9,415,581","755,896","3,678,813","618,199","4,882,231","17,666,370","1,992,183","473,424","5,931,547","5,157,278","1,388,251","4,252,681","417,563","2,610,444"
"    Income in the past 12 months below poverty level","511,054","49,159","576,042","307,498","2,633,646","369,997","206,126","80,203","70,289","1,679,621","892,940","86,205","137,842","939,914","546,858","219,528","211,409","499,043","563,618","108,827","340,224","425,232","902,521","330,683","374,266","517,827","93,051","119,261","214,467","68,718","478,384","242,696","1,561,408","887,601","52,568","1,021,720","374,955","358,297","1,035,118","73,950","478,366","70,712","628,440","1,973,866","173,726","49,485","551,383","491,067","238,755","433,037","42,831","1,070,775"
"    Income in the past 12 months at or above the poverty level","3,072,623","468,598","4,201,933","1,825,665","22,461,135","3,587,879","2,311,644","608,267","410,086","13,002,285","6,247,292","909,352","1,057,036","7,866,738","4,193,489","2,021,620","1,809,563","2,738,155","2,793,037","927,804","3,852,265","4,373,639","6,402,831","3,653,007","1,782,042","3,941,840","698,440","1,204,596","1,787,898","943,539","5,579,466","1,219,630","11,906,699","6,394,125","490,154","7,534,662","2,368,552","2,645,455","8,380,463","681,946","3,200,447","547,487","4,253,791","15,692,504","1,818,457","423,939","5,380,164","4,666,211","1,149,496","3,819,644","374,732","1,539,669"
"HOUSEHOLD INCOME (IN 2017 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Median Household Income for Households with a Citizen, Voting-Age Householder","48,452","74,048","58,252","45,947","76,088","70,478","75,751","63,626","82,468","54,216","56,809","79,615","52,667","64,635","54,749","59,109","57,133","48,525","46,492","56,463","81,860","79,512","54,952","69,159","43,608","53,819","53,550","60,769","59,639","73,871","81,994","48,122","66,515","53,617","62,222","54,185","50,384","60,883","59,536","65,645","50,847","56,950","51,658","61,765","70,213","57,645","71,912","71,580","43,524","59,717","60,867","19,382"
